month,currency,rate_to_usd
2023-01,USD,1
2023-01,EUR,1.085
2023-02,USD,1
2023-02,EUR,1.092
2023-03,USD,1
2023-03,EUR,1.078
2023-04,USD,1
2023-04,EUR,1.103
2023-05,USD,1
2023-05,EUR,1.089
2023-06,USD,1
2023-06,EUR,1.096
2023-07,USD,1
2023-07,EUR,1.112
2023-08,USD,1
2023-08,EUR,1.087
2023-09,USD,1
2023-09,EUR,1.098
2023-10,USD,1
2023-10,EUR,1.076
2023-11,USD,1
2023-11,EUR,1.091
2023-12,USD,1
2023-12,EUR,1.105
2024-01,USD,1
2024-01,EUR,1.083
2024-02,USD,1
2024-02,EUR,1.094
2024-03,USD,1
2024-03,EUR,1.101
2024-04,USD,1
2024-04,EUR,1.088
2024-05,USD,1
2024-05,EUR,1.095
2025-01,USD,1
2025-01,EUR,1.09
2025-06,USD,1
2025-06,EUR,1.105